post_id,post_title,post_name,post_status,post_date,post_modified,post_author,post_category,featured_image_url,content,cf_client_contact_name,cf_client_title,cf_client_company,cf_result_stat,seo_title,seo_meta_description
1085,Meridian Advisory Partners Case Study (2),meridian-advisory-partners-case-study-2,publish,2022-03-15 08:45:00,2022-04-02 09:10:00,R. Castellano,Professional Services,https://cdn.ordinantcarbon.com/case-studies/meridian-advisory-2.jpg,"<p>Meridian Advisory Partners struggled to get consistent reporting from its regional offices before adopting Ordinant Carbon Solutions.</p><p>Regional teams now submit data directly, with central sustainability staff reviewing and approving submissions from a single dashboard.</p>",Harriet Colby,Regional Sustainability Lead,Meridian Advisory Partners,Consistent regional reporting,Meridian Advisory Partners | Ordinant Carbon Solutions,Meridian Advisory Partners gets consistent regional reporting with Ordinant Carbon Solutions.
1093,Castellan Professional Group,castellan-professional-group,publish,2021-12-05 09:15:00,2021-12-05 09:15:00,R. Castellano,Professional Services,https://cdn.ordinantcarbon.com/case-studies/castellan-group.jpg,"<p>Castellan Professional Group needed a faster way to compile emissions data ahead of annual disclosure deadlines.</p>",Ines Barbero,Sustainability Analyst,Castellan Professional Group,,,
1101,Whitfield and Cross LLP Reduces Reporting Overhead,whitfield-cross-reporting-overhead,publish,2022-07-11 12:00:00,2022-07-15 10:40:00,R. Castellano,Professional Services,,"<p>Whitfield &amp; Cross LLP was spending significant staff time each quarter compiling office-level emissions data by hand.</p><p><span style=""font-size:14px;"">The firm has since automated much of that process.</span></p>",Bartholomew Nkemdi,Operations Partner,Whitfield & Cross LLP,,,
1114,Ashcombe University Network,ashcombe-university-network,publish,2021-04-22 08:00:00,2021-04-22 08:00:00,S. Devereux,Education,https://cdn.ordinantcarbon.com/case-studies/ashcombe-university.jpg,"<p>Ashcombe University Network needed a way to standardize reporting across its member campuses.</p><p>Each campus now submits data through a shared system with consistent templates.</p>",Fenella Okoro,Director of Campus Operations,Ashcombe University Network,Standardized reporting across campuses,Ashcombe University Network Case Study,
1115,Riverton School District,riverton-school-district-carbon,publish,,2022-02-01 09:00:00,S. Devereux,Education,https://cdn.ordinantcarbon.com/case-studies/riverton-school-district.jpg,"<p>Riverton School District manages facilities data across dozens of individual school buildings.</p><p>Ordinant Carbon Solutions gave the district a single place to track utility and facilities data district-wide.</p>",Marcus Delacroix,Director of Facilities,Riverton School District,,,
1128,Bellwether Education Trust Case Study,bellwether-education-trust,publish,2022-09-08 13:30:00,2022-09-08 13:30:00,S. Devereux,Education,,"<p>Bellwether Education Trust needed to bring reporting into line across a growing network of schools.</p>[yt id=""dQw4w9WgXcQ""]",Bellwether Education Trust,,,,
1136,Kingsley Academic Group Standardizes Reporting,kingsley-academic-group-reporting,publish,2021-11-30 10:00:00,2021-12-04 08:50:00,S. Devereux,education,https://cdn.ordinantcarbon.com/case-studies/kingsley-academic.jpg,"<p>Kingsley Academic Group was managing carbon data separately at each of its member institutions.</p><p>The group has since moved to a single, shared reporting system.</p>",Odalys Ferreira,Head of Sustainability Initiatives,Kingsley Academic Group,,Kingsley Academic Group | Ordinant Carbon Solutions,Kingsley Academic Group unifies reporting across member institutions with Ordinant Carbon Solutions.
1149,Vantage Retail Group Gets Consistent Regional Reporting,vantage-retail-group-regional-reporting,publish,2022-04-19 09:20:00,2022-04-22 10:15:00,T. Marchetti,Multi-location Services,https://cdn.ordinantcarbon.com/case-studies/vantage-retail.jpg,"<p>Vantage Retail Group needed consistent reporting from dozens of individually managed retail locations.</p><p>Every location now submits data through the same system, with regional managers reviewing before it reaches corporate.</p>",Solange Mbeki,VP of Operations,Vantage Retail Group,Consistent reporting across all locations,Vantage Retail Group Case Study,
1150,Crestpoint Service Solutions,crestpoint-service-solutions-case-study,publish,2021-07-14 11:00:00,2021-07-14 11:00:00,T. Marchetti,Multi-Location Services,,"<p>Crestpoint Service Solutions operates across more than 60 franchise locations, each previously reporting data differently.</p><p>[cta_button url=""/platform"" text=""See the platform""]</p>",Griffin Ashdown,Director of Franchise Operations,Crestpoint Service Solutions,60+ locations standardized,,
1163,Anchorline Facilities Group,anchorline-facilities-group,publish,0000-00-00 00:00:00,2022-08-30 09:00:00,T. Marchetti,Multi-location Services,https://cdn.ordinantcarbon.com/case-studies/anchorline-facilities.jpg,"<p>Anchorline Facilities Group is rolling out consistent supplier evidence tracking across its regional service centers.</p>",Anchorline Facilities Group,,,,,
1170,Marrow and Finch Franchise Group Reduces Time Chasing Documentation,marrow-finch-franchise-documentation,publish,2022-10-02 14:45:00,2022-10-05 09:30:00,T. Marchetti,Multi-location Services,https://cdn.ordinantcarbon.com/case-studies/marrow-finch.jpg,"<p>Marrow &amp; Finch Franchise Group spent significant time each quarter chasing supplier documentation ahead of reporting deadlines.</p><p>That time has been reduced substantially since adopting Ordinant Carbon Solutions.</p>",Wilhelmina Cho,Head of Sustainability,Marrow & Finch Franchise Group,Documentation turnaround reduced,Marrow & Finch Franchise Group Case Study,Marrow & Finch Franchise Group reduces time spent chasing supplier documentation.
